,CTYNAME,FULLFP,1990,1980,1970,1960,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Alameda County,6001,504109,444607,378833,310312,541385,546269,550054,553821,558677,564447,569206,575668,579064,581305,582867,584528,586639,589352,592396,595760,600467,605974,615030,622922,623368,629808,637697,646252
1,Alpine County,6003,1319,933,521,168,1519,1540,1589,1646,1670,1688,1701,1726,1755,1758,1760,1761,1764,1765,1764,1766,1769,1770,1778,1782,1543,1545,1545,1551
2,Amador County,6005,12814,9446,5120,3988,15166,15456,15722,16046,16526,17042,17477,17724,17891,17982,18046,18070,18141,18241,18239,18249,18274,18318,18452,18625,18814,18907,19025,19110
3,Butte County,6007,76115,61360,38110,31494,85759,86745,87691,88729,90373,92258,93812,94841,95524,95795,95922,96415,96645,96989,97517,98073,98692,99438,100074,86209,90155,90582,92188,93872
4,Calaveras County,6009,19153,12746,7037,4677,22988,23429,23991,24527,25240,26097,26975,27473,27751,27879,27938,27978,28000,28024,28079,28143,27731,27917,28063,28181,27450,27558,27661,27758
5,Colusa County,6011,6295,5334,4867,4385,6789,6856,6935,7022,7200,7438,7590,7709,7830,7859,7877,7883,7887,7892,7937,7983,8022,8056,8061,8125,8106,8155,8215,8262
6,Contra Costa County,6013,316170,251917,177732,124279,355867,361186,366002,371890,379241,384970,391029,394773,397994,399624,400525,402036,402830,404915,406788,408729,411110,413957,415893,418707,423926,426376,429124,432059
7,Del Norte County,6015,9091,7581,5341,5831,10444,10483,10532,10606,10734,10939,11048,11068,11114,11191,11190,11218,11301,11323,11334,11337,11362,11395,11418,11434,11105,11156,11207,11265
8,El Dorado County,6017,61451,44987,23871,15592,71727,73535,75905,78037,80257,82697,84695,86057,87014,87789,88192,88305,88434,88683,88861,89020,89573,90320,91119,91660,93625,94266,94880,95465
9,Fresno County,6019,235563,193653,135696,118784,271364,274477,278226,282004,287713,294828,302095,307107,311666,314011,316072,318189,319703,321458,324157,325987,328158,330920,333779,336473,339007,341821,345014,347957
10,Glenn County,6021,9329,8425,6299,5956,9978,10000,10050,10096,10215,10345,10533,10666,10741,10742,10798,10836,10858,10893,10920,10947,10967,11021,11038,11098,10911,10981,11033,11056
11,Humboldt County,6023,51134,45389,35222,34691,56071,56744,57404,58029,58580,59331,59973,60543,61001,61384,61595,61763,62010,62181,62353,62586,62792,63027,63331,63727,62211,62566,62922,63287
12,Imperial County,6025,36559,32088,23401,21916,44078,44884,45971,47027,48285,50138,52362,54517,55455,55936,56107,56177,56399,56665,56958,57195,57484,57714,57871,58280,56750,57437,58187,58811
13,Inyo County,6027,8712,8484,6135,5104,9061,9108,9157,9205,9263,9328,9382,9418,9455,9471,9477,9481,9482,9497,9512,9529,9541,9570,9593,9609,9477,9502,9517,9527
14,Kern County,6029,198636,155702,110142,97636,232436,235932,239933,245018,251518,258904,268242,275490,279952,282814,284767,286302,287209,289153,291351,293527,295641,297819,300359,302898,301620,304359,307138,309653
15,Kings County,6031,30843,25694,20131,16098,36687,37188,37902,38658,39738,40678,41841,42728,43267,43685,43908,44148,44345,44600,44836,45244,45808,46383,46636,46965,46375,46629,46950,47425
16,Lake County,6033,28822,23008,12161,8565,32556,32669,32753,33047,33580,34236,34755,35242,35529,35545,35495,35518,35548,35612,35646,35679,34543,34695,34714,34572,34242,34290,34325,34385
17,Lassen County,6035,10358,8899,6071,5922,12021,12095,12192,12283,12397,12534,12662,12747,12752,12740,12708,12704,12722,12730,12740,12742,12751,12762,12775,12784,12218,12232,12238,12238
18,Los Angeles County,6037,3163310,2855506,2541603,2143227,3275078,3291517,3309185,3324660,3344587,3370334,3392672,3415650,3432701,3442558,3446799,3453525,3462731,3473910,3488796,3504162,3525319,3542673,3561369,3579329,3598015,3621271,3646870,3675720
19,Madera County,6039,30831,24607,14788,13593,40518,41081,41780,42662,43792,45362,47471,48674,49041,49146,49149,49280,49523,49669,49874,50074,50272,50570,50968,51438,49664,50134,50871,51770
20,Marin County,6041,99757,92663,72000,49581,105156,105861,106452,106930,107683,108773,109604,110212,110661,111018,111275,111437,111604,111823,112338,112699,113028,113127,113185,113344,111610,111800,112055,112354
21,Mariposa County,6043,7700,5762,3089,2436,8842,8944,9054,9260,9434,9640,9879,10024,10124,10171,10195,10243,10278,10315,10346,10371,10401,10425,10404,10445,9773,9822,9829,9788
22,Mendocino County,6045,33649,28998,18914,17556,37024,37363,37746,38170,38645,39112,39493,39824,40076,40229,40347,40483,40561,40614,40715,40817,40919,41090,40907,41027,41379,41445,41616,41844
23,Merced County,6047,58410,50016,32708,28538,68875,70113,71075,72672,75247,77686,81109,83059,83633,83773,83716,83796,83944,84060,84186,84327,84540,85266,85763,86388,88198,89818,91186,92341
24,Modoc County,6049,4672,3738,2892,3317,4805,4832,4859,4903,4951,5001,5059,5105,5143,5168,5193,5209,5220,5225,5235,5244,5253,5259,5266,5276,4753,4758,4762,4763
25,Mono County,6051,10664,8397,3082,1634,11810,12061,12363,12465,12791,13037,13590,13754,13851,13888,13919,13941,13959,13980,14003,14035,14071,14113,14134,14208,13581,13606,13673,13730
26,Monterey County,6053,121224,103557,75794,57478,132051,133441,134192,135076,136092,136963,138035,138499,139163,139204,139089,139345,139495,139733,140156,140497,141033,141679,142461,143201,143753,144555,145540,146386
27,Napa County,6055,44199,40052,26838,21176,48719,49293,50229,51257,51912,52882,53614,54125,54451,54665,54788,54879,55010,55110,55321,55455,55613,55826,55435,55647,55375,55444,55828,56049
28,Nevada County,6057,37352,24759,11960,9184,44544,45513,46419,47480,48561,49698,50697,51481,52071,52407,52618,52771,52852,52940,53117,53406,53609,53864,54266,54809,53713,54051,54309,54546
29,Orange County,6059,875105,721570,463199,227012,972611,985022,993678,1005278,1014596,1023742,1030732,1038419,1045083,1047718,1048999,1051827,1055832,1061560,1071573,1080462,1090560,1101613,1110839,1118110,1131619,1138747,1145976,1153540
30,Placer County,6061,77879,54014,30441,21362,108665,115275,121381,128764,134170,138611,144069,147329,149817,151618,152970,154092,154885,156172,157421,159368,161500,163862,167085,168919,172914,175683,179151,182794
31,Plumas County,6063,11942,9451,6016,5523,13434,13635,13851,14134,14395,14697,15065,15296,15461,15532,15574,15605,15642,15666,15698,15734,15767,15818,15870,15916,15406,15117,14617,14664
32,Riverside County,6065,483847,295069,169136,115392,588488,605084,625450,649730,681618,714686,750829,776659,790064,796844,801698,806137,809342,813435,819390,826172,832169,839357,847661,857148,850535,859317,868696,877844
33,Sacramento County,6067,417574,323702,212079,164576,476695,484023,492803,506842,522749,534429,544385,550026,553378,555693,556128,557203,558443,559945,561853,563611,566342,569623,574375,578937,588671,593297,598311,603597
34,San Benito County,6069,12230,8750,5925,5223,16617,17127,17441,17566,17649,17747,17854,17862,17868,17860,17879,17923,17948,17979,18116,18215,18422,18871,19436,19979,20476,20987,21419,21697
35,San Bernardino County,6071,542332,370155,251295,193668,602918,609501,618334,628572,640584,658704,675259,688069,695367,698183,700135,701727,703077,704913,708284,711634,715166,719171,725898,731400,732861,737683,743641,749746
36,San Diego County,6073,946240,720346,450798,339442,1044144,1060146,1075986,1090165,1108796,1125143,1140067,1149468,1157000,1162450,1165429,1168642,1173855,1179403,1187506,1194252,1203503,1213992,1224237,1233777,1230305,1239208,1250353,1262043
37,San Francisco County,6075,328471,316608,310402,310559,347258,350534,353178,358870,360957,363667,366894,369960,373123,376159,377012,377789,379821,383113,387526,390124,393507,397476,401412,406413,407634,411831,415380,418146
38,San Joaquin County,6077,166274,136001,96476,80697,190509,195905,200292,206444,213539,220356,226270,229893,232303,233142,233927,234646,235515,236448,237422,238530,240826,242746,245482,248636,252360,256378,260780,265166
39,San Luis Obispo County,6079,90200,66780,37612,29399,102684,104200,105976,107798,109910,112226,114369,115865,116840,117226,117401,117836,118111,118512,119276,120242,121031,121880,122959,123963,123928,124808,125744,126687
40,San Mateo County,6081,251782,233200,191077,141770,261100,263233,264529,265931,267118,268151,268732,269521,270116,270850,271127,271253,271893,272698,273518,274827,276278,278055,279453,280450,284051,285627,287100,288313
41,Santa Barbara County,6083,138149,114910,88806,57290,143164,144550,145887,147801,149181,150576,151506,152178,152659,152831,152900,153289,153522,153977,154387,155142,156150,157006,158304,159246,158584,159716,160796,161915
42,Santa Clara County,6085,540240,473817,336873,199922,581072,587852,593986,598670,605913,611603,617462,623545,627669,631107,632140,635950,638714,643833,651024,660436,665631,671004,678442,686266,689472,694376,698929,703949
43,Santa Cruz County,6087,91878,80863,52006,40939,98986,99456,99978,100510,101512,102268,103066,103648,104325,104482,104494,104602,104769,104975,105247,105528,105831,106311,106725,107149,106446,106591,106832,107128
44,Shasta County,6089,60552,47487,27449,20961,69020,69883,70800,72023,73292,74271,75729,76501,76997,77295,77350,77531,77617,77761,77907,78096,78469,78840,79192,78618,79472,79724,79966,80299
45,Sierra County,6091,2166,1893,1551,1495,2197,2214,2224,2240,2262,2281,2294,2309,2320,2326,2328,2333,2338,2342,2343,2347,2347,2356,2361,2368,2127,2130,2136,2145
46,Siskiyou County,6093,20141,17504,13074,13272,21983,22145,22291,22473,22779,23141,23590,23756,23854,23906,23925,23978,24028,24080,24035,23983,24061,24138,24208,24226,22932,22997,23141,23183
47,Solano County,6095,119136,84270,53762,41894,135034,137197,139688,142085,144667,147570,149852,150957,151866,152332,152839,153297,153677,154210,154980,155621,156966,157905,158818,159806,162428,163288,164415,165640
48,Sonoma County,6097,161062,124189,78060,59784,183846,186590,189421,191620,194184,196459,199583,201702,203314,204103,204656,205068,205637,206148,207146,207769,208324,209209,205114,208305,204914,205918,207417,209020
49,Stanislaus County,6099,132027,102472,65414,51834,151433,154556,157813,161237,165190,169253,173921,176641,178579,179154,179578,179793,179861,180054,180317,180698,181055,181586,182276,182978,183313,184121,185141,186253
50,Sutter County,6101,24163,20425,14102,11077,28383,28614,29043,29699,30670,31950,33205,33533,33771,33841,33880,33949,34007,34044,34102,34182,34337,34412,34484,34583,34531,34672,34813,34946
51,Tehama County,6103,20403,16556,10701,9143,23610,23832,24021,24315,24760,25505,26203,26693,26891,26983,26990,27064,27114,27180,27258,27342,27427,27529,27681,27840,27366,27452,27516,27572
52,Trinity County,6105,7540,6350,3750,4039,7986,8044,8116,8184,8274,8389,8490,8571,8628,8656,8689,8729,8753,8764,8786,8824,8854,8888,8955,9013,8155,8068,8051,8086
53,Tulare County,6107,105013,88744,61904,55554,120048,121679,123454,125448,127749,130319,133630,137057,139591,140955,141945,143199,144016,144606,145467,146465,147688,148935,150162,151603,151125,152678,153949,155255
54,Tuolumne County,6109,25175,19370,11248,8157,28424,28734,29020,29422,29826,30280,30709,30950,31104,31206,31255,31292,31308,31332,31370,31431,31478,31523,31613,31700,31427,31488,31560,31622
55,Ventura County,6111,228478,183384,112722,60698,252796,257075,260877,263779,267659,270687,275596,278150,280033,281209,281778,282361,282942,283532,284558,285870,287180,288792,291006,291512,293303,294357,295921,297810
56,Yolo County,6113,53028,43605,29736,20957,61911,63196,64583,66081,67935,70242,72045,73373,74358,74756,75133,75374,75616,75904,76705,76927,77251,77920,78496,79263,80462,81428,82461,83690
57,Yuba County,6115,21245,19248,14202,11113,22640,22614,22710,22937,23414,24977,26460,27221,27739,27700,27656,27713,27779,27856,28001,28199,28401,28582,28667,29049,29566,30012,30584,31263
