,CTYNAME,FULLFP,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Area_squaremiles,1970 Population Density,1971 Population Density,1972 Population Density,1973 Population Density,1974 Population Density,1975 Population Density,1976 Population Density,1977 Population Density,1978 Population Density,1979 Population Density,1980 Population Density,1981 Population Density,1982 Population Density,1983 Population Density,1984 Population Density,1985 Population Density,1986 Population Density,1987 Population Density,1988 Population Density,1989 Population Density,1990 Population Density,1991 Population Density,1992 Population Density,1993 Population Density,1994 Population Density,1995 Population Density,1996 Population Density,1997 Population Density,1998 Population Density,1999 Population Density,2000 Population Density,2001 Population Density,2002 Population Density,2003 Population Density,2004 Population Density,2005 Population Density,2006 Population Density,2007 Population Density,2008 Population Density,2009 Population Density,2010 Population Density,2011 Population Density,2012 Population Density,2013 Population Density,2014 Population Density,2015 Population Density,2016 Population Density,2017 Population Density,2018 Population Density,2019 Population Density,2020 Population Density
37,San Francisco County,6075,715674,708100,700000,700000,698400,686100,686100,677700,677700,675800,679193,686920,695544,704803,713200,727975,737398,736500,730462,725887,722749,725237,727291,729746,729051,730628,735228,740993,745756,746777,777885,780865,772723,766160,761325,763016,768650,778673,791152,801922,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,866606,811935,807774,808988,2496,286.72836538461536,283.6939102564103,280.44871794871796,280.44871794871796,279.8076923076923,274.8798076923077,274.8798076923077,271.5144230769231,271.5144230769231,270.75320512820514,272.11258012820514,275.2083333333333,278.66346153846155,282.37299679487177,285.7371794871795,291.65665064102564,295.43189102564105,295.07211538461536,292.65304487179486,290.8201121794872,289.56290064102564,290.5596955128205,291.3826121794872,292.3661858974359,292.08774038461536,292.71955128205127,294.5625,296.8721955128205,298.78044871794873,299.18950320512823,311.6526442307692,312.8465544871795,309.5845352564103,306.95512820512823,305.01802884615387,305.6955128205128,307.95272435897436,311.96834935897436,316.96794871794873,321.28285256410254,322.7239583333333,326.8004807692308,332.11658653846155,336.41626602564105,340.9126602564103,345.84815705128204,349.09575320512823,351.5508814102564,352.43429487179486,352.09375,347.1979166666667
38,San Joaquin County,6077,291073,296200,303900,303900,306700,309800,317700,332700,332700,338400,350186,361460,373481,385716,398727,416044,430786,445725,457136,466859,484360,494221,503293,509810,516797,523653,531560,539997,549684,563183,567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,687115,694265,699444,701831,711296,721919,732662,743286,752590,761571,767967,788354,794293,800965,15355,18.956235753826114,19.290133507000977,19.791598827743407,19.791598827743407,19.973949853467925,20.1758384890915,20.69032888309997,21.667209378052753,21.667209378052753,22.03842396613481,22.805991533702375,23.54021491370889,24.32308694236405,25.11989579941387,25.967241940735917,27.09501790947574,28.055096059915336,29.02800390752198,29.771149462715726,30.404363399544124,31.5441224356887,32.18632367307066,32.777140996418105,33.20156300879192,33.65659394334093,34.10309345490069,34.61803972647346,35.16750244220124,35.798371865841744,36.67749918593292,36.98371865841745,38.50257245197004,39.664018235102574,40.81914685770108,41.86896776294367,42.78638879843699,43.16587430804298,43.508954737870404,43.74418756105503,44.137805275154676,44.74861608596548,45.21426245522631,45.551546727450344,45.707000976880494,46.3234125691957,47.01523933572126,47.714881146206444,48.406773038098336,49.01269944643439,49.59759036144578,50.01413220449365
39,San Luis Obispo County,6079,105690,109300,119800,119800,125500,126500,134300,145900,145900,150900,156829,161889,166561,171369,177555,185250,192490,199339,204257,213311,218117,219091,220353,221030,223264,225664,228546,231426,234074,236953,247839,251462,253083,254674,256842,258615,260498,262770,266358,268145,269800,271056,274174,275713,278271,280138,281884,282473,283250,282728,282249,279464,282046,281639,38917,2.715779736362001,2.8085412544646298,3.078346224015212,3.078346224015212,3.2248117789140993,3.250507490299869,3.4509340391088728,3.7490042911838013,3.7490042911838013,3.87748284811265,4.029832720918878,4.159853020530873,4.2799033841251894,4.4034483644679705,4.562402035100342,4.76013053421384,4.946167484646812,5.122157411927949,5.248528920523165,5.481177891409923,5.604671480329933,5.629699103219672,5.662127090988514,5.67952308759668,5.73692730683249,5.798597014158337,5.872652054372125,5.946655703163142,6.01469794691266,6.088675899992292,6.36839941413778,6.461494976488424,6.503147724644757,6.544029601459516,6.599737903743865,6.645296400030835,6.693681424570239,6.752062080838708,6.844258293290849,6.890176529537221,6.932702931880669,6.964976745381196,7.0450959734820255,7.084641673304725,7.150371303029524,7.198345196186756,7.24320990826631,7.258344682272528,7.278310250019271,7.2648970886759,7.252588842922116
40,San Mateo County,6081,557361,556300,567100,567100,568400,575400,580600,582600,582600,585600,587968,591736,595854,606458,613706,620189,621588,628247,636605,646073,650050,654577,661529,667971,673139,677837,685365,695689,701080,702102,707820,705621,697628,693057,690161,690078,690176,693849,703830,713617,719948,728945,739700,749131,757653,765479,767928,768658,768410,764810,758308,739149,728929,726353,7976,69.87976429287863,69.74674022066199,71.10080240722166,71.10080240722166,71.26379137412236,72.14142427281845,72.79338014042126,73.04413239719158,73.04413239719158,73.42026078234704,73.71715145436309,74.18956870611835,74.70586760280842,76.03535606820462,76.94408224674022,77.75689568706119,77.93229689067202,78.76717652958877,79.8150702106319,81.00213139418254,81.50075225677031,82.06832998996991,82.9399448345035,83.74761785356068,84.39556168505517,84.98457873620863,85.92841023069208,87.22279338014042,87.8986960882648,88.02683049147443,88.74373119358074,88.46802908726178,87.46589769307924,86.8928034102307,86.52971414242728,86.51930792377131,86.53159478435306,86.99210130391174,88.24348044132397,89.4705366098295,90.26429287863591,91.39230190571715,92.7407221664995,93.9231444332999,94.99159979939819,95.97279338014042,96.27983951855566,96.37136409227683,96.34027081243731,95.88891675025076,95.07372116349048
41,Santa Barbara County,6083,264324,269900,277400,277400,278400,282600,286100,295400,295400,295400,300236,305587,313072,322287,329127,338566,345647,352019,355812,365700,370420,374051,376523,378009,381528,381289,382215,386789,389472,391071,399990,403164,405178,406810,407284,408079,408085,411243,415859,420356,424218,425404,429635,434503,438921,442051,444112,444998,445137,445464,444766,437521,443915,441257,40785,6.480912100036778,6.617629030280741,6.801520166727964,6.801520166727964,6.826038984920927,6.9290180213313715,7.014833885006743,7.2428588942013,7.2428588942013,7.2428588942013,7.361431898982469,7.492632095133015,7.676155449307343,7.9020963589554984,8.069805075395365,8.301238200318744,8.474855951943116,8.631089861468677,8.724089738874586,8.966531813166606,9.082260635037391,9.17128846389604,9.231898982469046,9.268333946303787,9.354615667524826,9.348755669976708,9.37146009562339,9.483609170038005,9.549393159249725,9.588598749540273,9.80728208900331,9.885104817947775,9.934485717788403,9.974500429079319,9.986122348902782,10.005614809366188,10.005761922275346,10.083192350128725,10.196371214907442,10.306632340321196,10.40132401618242,10.430403334559275,10.5341424543337,10.653500061297045,10.761824200073557,10.83856810101753,10.889101385313229,10.910825058232193,10.914233173961016,10.922250827510114,10.905136692411427
42,Santa Clara County,6085,1065313,1100500,1163900,1163900,1164600,1192800,1206700,1260400,1260400,1271400,1300884,1324718,1345046,1374020,1396226,1419528,1429923,1447592,1472237,1498116,1497644,1508020,1523971,1539465,1550060,1566760,1593625,1621660,1641848,1647419,1684947,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137,1786001,1811891,1837605,1866050,1891286,1915736,1928144,1932251,1931985,1922411,1907105,1885173,1878335,1877592,14037,75.8932108000285,78.39994300776519,82.91657761629978,82.91657761629978,82.96644582175679,84.97542209873905,85.96566217852818,89.79126594001568,89.79126594001568,90.57490916862578,92.67535798247489,94.37329913799245,95.82147182446391,97.88558808862292,99.46755004630619,101.12759136567642,101.86813421671297,103.12687896274133,104.8825959962955,106.72622355204103,106.6925981335043,107.43178741896416,108.56814134074233,109.67193844838641,110.42672935812496,111.61644225974212,113.5303127448885,115.52753437344163,116.96573341882169,117.36261309396595,120.03611882880958,120.25945714896345,118.92484149034694,118.51478236090333,118.48450523616157,119.34971860084063,120.47866353209375,121.96523473676712,124.02678635035976,125.74887796537722,127.23523544917005,129.07964664814418,130.91151955546056,132.93794970435277,134.73576975137138,136.47759492769111,137.3615444895633,137.6541283750089,137.63517845693525,136.9531238868704,135.8627199544062
43,Santa Cruz County,6087,123790,129900,145300,145300,149800,158600,168000,174900,174900,184000,189358,193590,197356,201924,205967,212145,216656,221195,225698,231461,229385,228984,230983,232600,234059,234717,235633,238862,243200,245201,255835,256045,254531,253021,252356,251377,251616,253304,256520,260009,263174,264927,266391,268836,270863,273495,274476,274865,273713,272870,269925,260475,264240,261547,6535,18.942616679418517,19.877582249426165,22.234123947972456,22.234123947972456,22.92272379495027,24.269319051262432,25.707727620504972,26.763580719204285,26.763580719204285,28.156082631981636,28.975975516449886,29.623565416985464,30.199846977811784,30.89885233358837,31.51752104055088,32.462892119357306,33.15317521040551,33.847742922723796,34.53680183626626,35.41866870696251,35.10099464422341,35.03963274674828,35.345524100994645,35.592960979342,35.81622035195103,35.916908951798014,36.05707727620505,36.551185921958684,37.2149961744453,37.521193573068096,39.148431522570775,39.180566182096406,38.948890589135424,38.717827084927315,38.616067329762814,38.466258607498084,38.50283091048202,38.76113236419281,39.253251721499616,39.78714613618975,40.27146136189747,40.53970925784239,40.7637337413925,41.13787299158378,41.44804896710023,41.850803366488144,42.000918133129304,42.06044376434583,41.88416220351951,41.75516449885233,41.30451415455241
44,Shasta County,6089,77640,79400,84200,84200,86700,92100,94900,103600,103600,112200,116638,120274,121513,122804,125326,128458,130122,132964,136629,141000,148660,154034,157319,158520,159684,160510,161327,162603,164156,164530,163615,166408,170198,173202,174867,175615,176166,176548,177247,177279,177277,177613,177908,178447,178904,178386,178592,179403,179666,179645,179027,182135,180937,180366,41413,1.8747736218095767,1.9172723540917103,2.0331779875884384,2.0331779875884384,2.0935455050346508,2.22393934271847,2.291550962258228,2.501629922971048,2.501629922971048,2.709294182986019,2.8164585999565355,2.904257117330307,2.9341752589766497,2.965349044985874,3.026247796585613,3.1018762224422285,3.1420568420544273,3.2106826358872818,3.2991814164634294,3.4047279839663873,3.5896940574215828,3.719460072923961,3.7987829908482844,3.827783546229445,3.8558906623524014,3.87583609011663,3.895564194818052,3.926375775722599,3.9638760775601862,3.97290705817014,3.950812546784826,4.018255137275735,4.109772293724193,4.182309902687562,4.222514669306739,4.240576630526646,4.253881631371791,4.2631057880375725,4.279984545915534,4.280757250138845,4.280708956124888,4.288822350469659,4.295945717528312,4.308960954289716,4.319996136478883,4.307487986864028,4.312462270301596,4.332045492961147,4.338396155796489,4.3378890686499405,4.322966218337237
45,Sierra County,6091,2365,2400,2500,2500,2500,2700,2900,2900,2900,3000,3075,3082,3277,3291,3271,3271,3239,3249,3329,3310,3320,3318,3288,3344,3329,3380,3396,3369,3376,3334,3574,3518,3482,3511,3430,3378,3424,3373,3320,3248,3220,3100,3068,3031,2976,2990,2956,3008,2961,2959,2920,3294,3222,3200,10357,0.2283479772134788,0.23172733417012648,0.2413826397605484,0.2413826397605484,0.2413826397605484,0.2606932509413923,0.28000386212223616,0.28000386212223616,0.28000386212223616,0.2896591677126581,0.2969006469054746,0.2975765182968041,0.3164043641981269,0.31775610698078594,0.31582504586270155,0.31582504586270155,0.3127353480737665,0.3137008786328087,0.32142512310514626,0.3195906150429661,0.3205561456020083,0.32036303949019984,0.31746644781307326,0.3228734189437096,0.32142512310514626,0.32634932895626145,0.327894177850729,0.32528724534131503,0.3259631167326446,0.3219078883846674,0.34508062180168003,0.3396736506710437,0.33619774065849184,0.3389977792797142,0.3311769817514724,0.326156222844453,0.3305976634160471,0.32567345756493193,0.3205561456020083,0.3136043255769045,0.31090084001158635,0.29931447330308003,0.296224775514145,0.2926523124456889,0.28734189437095686,0.2886936371536159,0.2854108332528725,0.29043159215989184,0.28589359853239354,0.2857004924205851,0.28193492324032055
46,Siskiyou County,6093,33225,33400,34300,34300,34600,34900,35600,37600,37600,38800,39961,40756,41279,41212,41265,41589,41177,41404,42027,42852,43713,43917,44056,43804,43972,44221,44058,44264,44024,43570,44218,43908,43965,44287,44394,44641,44487,44465,44780,44788,44941,44622,44091,43550,43357,43275,43402,43647,43624,43663,43245,44139,43786,42905,68322,0.4863001668569421,0.48886156728433006,0.5020344837680396,0.5020344837680396,0.5064254559292761,0.5108164280905125,0.5210620298000644,0.5503351775416411,0.5503351775416411,0.567899066186587,0.5848921284505723,0.5965282046778491,0.6041831328122713,0.6032024823629285,0.6039782207780803,0.6087204707122157,0.6026902022774508,0.6060127045461199,0.615131290067621,0.6272064635110214,0.6398085536137701,0.6427944146834109,0.6448288984514505,0.6411404818360118,0.6435994262463043,0.6472439331401305,0.644858171599192,0.6478733058165744,0.6443605280875853,0.6377155235502474,0.6472000234185182,0.6426626855185739,0.6434969702292087,0.6482099470156026,0.649776060419777,0.6533912941658616,0.6511372617897603,0.6508152571646029,0.6554257779339012,0.6555428705248676,0.6577822663270981,0.6531131992623167,0.6453411785369281,0.6374227920728316,0.6345979333157694,0.6333977342583648,0.6352565791399549,0.6388425397382981,0.63850589853927,0.6390767249202307,0.6329586370422412
47,Solano County,6095,171989,178500,183200,183200,187400,191500,198000,213600,213600,224500,237272,246006,254349,260392,264414,271630,283614,296836,310048,326072,343460,354889,359849,364148,365383,364191,366408,371063,376748,385723,396974,404209,408226,408409,409301,408181,408402,408243,408972,410290,413963,416325,419645,423634,428971,433378,438834,443554,445931,447434,446935,450653,448885,449218,9754,17.63266352265737,18.30018453967603,18.782038138199713,18.782038138199713,19.212630715603854,19.63297108878409,20.299364363338118,21.89870822226779,21.89870822226779,23.016198482673776,24.325610006151322,25.22103752306746,26.076378921468116,26.695919622718886,27.108263276604468,27.848062333401682,29.076686487594834,30.432232930079966,31.78675415214271,33.42956735698175,35.212220627434895,36.38394504818536,36.8924543776912,37.33319663727701,37.45981135944228,37.337605085093294,37.56489645273734,38.042136559360266,38.62497436948944,39.54510969858519,40.6985851958171,41.440332171416856,41.852163215091245,41.870924748821,41.962374410498256,41.84754972319048,41.87020709452532,41.85390608980931,41.9286446586016,42.06376871027271,42.440332171416856,42.682489235185564,43.02286241541932,43.431822841911014,43.97898298134099,44.43079762148862,44.990157883945045,45.47406192331351,45.71775681771581,45.87184744720115,45.820688948123845
48,Sonoma County,6097,204885,212400,238000,238000,243000,253300,262700,281400,281400,291900,301677,308604,314637,321588,326865,335352,345270,356114,367890,380632,390152,396592,402387,406467,410123,414688,419268,426438,433777,439970,460421,465293,465298,466489,466809,465938,465188,467356,473091,479479,484675,487231,489784,493870,498317,500598,502445,502203,497221,492318,489819,484519,482669,481812,19030,10.766421439831845,11.16132422490804,12.506568575932738,12.506568575932738,12.76931161324225,13.310562270099842,13.804519180241723,14.787178139779297,14.787178139779297,15.33893851812927,15.852706253284287,16.216710457172884,16.53373620599054,16.899001576458225,17.17630057803468,17.62228060956385,18.143457698370995,18.713294797687862,19.33210719915922,20.001681555438783,20.50194429847609,20.84035733053074,21.144876510772466,21.359274829217025,21.55139253809774,21.791276931161324,22.031949553336837,22.408723068838675,22.794377299001578,23.119810825013136,24.1944823962165,24.45049921177089,24.450761954808197,24.513347346295323,24.53016290068313,24.484393063583816,24.444981607987387,24.558906988964793,24.8602732527588,25.195953757225432,25.468996321597476,25.6033105622701,25.737467157120335,25.95218076720967,26.185864424592747,26.305727798213347,26.40278507619548,26.3900683131897,26.128271150814502,25.870625328428797,25.7393063583815
49,Stanislaus County,6099,194506,199700,215200,215200,222500,229500,236300,247300,247300,260900,267945,275132,280741,288499,293879,301286,311159,323379,336061,353017,375259,385831,394159,400923,405152,408919,413484,419446,426872,436790,449471,463761,477469,487357,492613,500020,504651,507834,509032,511536,515137,517515,520336,523313,527814,532954,538986,544494,547855,549761,550081,552723,551226,551430,16303,11.930687603508556,12.249279273753297,13.20002453536159,13.20002453536159,13.647794884377108,14.077163712200209,14.494264859228362,15.168987302950377,15.168987302950377,16.003189597006685,16.43531865300865,16.876157762375023,17.220204870269274,17.69606820830522,18.02606882168926,18.480402379930073,19.08599644237257,19.835551738943753,20.613445378151262,21.653499355946757,23.01778813715267,23.666257743973503,24.177083972275042,24.591976936760105,24.851377047169233,25.082438814942034,25.36244862908667,25.728148193584,26.183647181500337,26.792001472121694,27.56983377292523,28.4463595657241,29.287186407409678,29.893700545911795,30.216095197202968,30.670428755443783,30.95448690425075,31.149727044102313,31.223210452064038,31.37680181561676,31.597681408329755,31.74354413298166,31.916579770594367,32.09918419922714,32.37526835551739,32.69054775194749,33.060541004723056,33.39839293381586,33.60455130957492,33.72146230755076,33.74109059682267
50,Sutter County,6101,41935,43000,45100,45100,46200,47400,48700,50100,50100,51700,52568,53820,55232,56766,56652,57605,58477,59787,61076,62707,64853,67159,69204,70717,72697,74354,75366,76450,77069,78423,79192,80138,82162,84671,86484,88764,91112,92959,93855,94366,94742,94466,94153,94457,94721,95224,95769,96161,96348,96910,96385,99152,98569,97948,6550,6.402290076335878,6.564885496183206,6.885496183206107,6.885496183206107,7.0534351145038165,7.236641221374046,7.435114503816794,7.648854961832061,7.648854961832061,7.893129770992366,8.025648854961831,8.21679389312977,8.43236641221374,8.666564885496184,8.64916030534351,8.794656488549618,8.927786259541985,9.127786259541985,9.324580152671755,9.573587786259543,9.901221374045802,10.253282442748091,10.565496183206108,10.79648854961832,11.098778625954198,11.35175572519084,11.506259541984733,11.67175572519084,11.766259541984732,11.97297709923664,12.090381679389314,12.234809160305344,12.54381679389313,12.926870229007633,13.203664122137404,13.551755725190839,13.910229007633587,14.192213740458016,14.329007633587786,14.407022900763359,14.464427480916031,14.422290076335878,14.374503816793894,14.420916030534352,14.4612213740458,14.538015267175572,14.6212213740458,14.681068702290077,14.709618320610687,14.795419847328244,14.715267175572519
51,Tehama County,6103,29517,30100,30900,30900,31900,32300,33400,35900,35900,37300,39176,40197,41330,42264,43203,44325,44844,45984,47174,48562,49873,51025,51904,52143,52945,53771,53863,53816,54016,54012,56170,56685,57380,58528,59571,60602,61587,62147,62648,62891,63562,63337,63213,62878,62797,63150,63468,63827,63904,65186,64494,65446,65299,64896,31884,0.9257621377493414,0.9440471709948564,0.9691381257056831,0.9691381257056831,1.0005018190942165,1.01304729644963,1.0475473591770166,1.1259565926483504,1.1259565926483504,1.169865763392297,1.2287040521891859,1.2607263831388784,1.2962614477480867,1.325555137372977,1.3550056454648098,1.3901957094467445,1.4064734663153933,1.4422280767783213,1.4795508719106762,1.5230836783339605,1.564201480366328,1.6003324551499185,1.6279011416384392,1.635397064358299,1.6605507464559026,1.6864571571948312,1.6893426169865764,1.6878685233973152,1.694141262075022,1.6940158073014677,1.7616986576339229,1.7778509597290177,1.7996487266340484,1.8356542466440848,1.8683665788483252,1.9007025467319032,1.9315957847196086,1.9491594530171874,1.9648726634048426,1.972494040898256,1.993539079161962,1.986482248149542,1.9825931501693639,1.9720863128842052,1.9695458537197341,1.9806172374858864,1.99059089198344,2.0018504579099234,2.0042654623008405,2.0444737172249403,2.0227700414000753
52,Trinity County,6105,7615,7900,8800,8800,9100,9600,9900,11200,11200,11600,11956,12322,12314,12464,12753,12881,12808,12716,13051,13144,13051,13087,13171,13213,13479,13436,13382,13162,13043,12927,12980,12859,13064,13210,13159,13440,13634,13648,13656,13762,13755,13685,13494,13427,13126,13094,12827,12727,12598,12337,12216,16082,15778,15670,34526,0.22055841974164397,0.22881306841221108,0.2548803800034756,0.2548803800034756,0.2635694838672305,0.2780513236401552,0.2867404275039101,0.3243932109135145,0.3243932109135145,0.3359786827318543,0.3462897526501767,0.3568904593639576,0.3566587499275908,0.3610033018594682,0.3693738052482187,0.3730811562300875,0.37096680762324047,0.3683021491050223,0.3780049817528819,0.38069860395064586,0.3780049817528819,0.37904767421653246,0.38148062329838384,0.3826970978393095,0.39040143659850546,0.38915599837803394,0.38759195968255805,0.3812199501824712,0.3777732723165151,0.37441348548919656,0.3759485605051266,0.3724439552800788,0.3783815095869779,0.382610206800672,0.3811330591438336,0.38927185309621737,0.3948908069281121,0.39529629844175407,0.3955280078781208,0.3985981579099809,0.39839541215315993,0.3963679545849505,0.3908358917916932,0.3888953252621213,0.3801772577188206,0.3792504199733534,0.3715171175346116,0.36862074958002666,0.36488443491861206,0.3573249145571453,0.35382030933209757
53,Tulare County,6107,188322,194100,201800,201800,206600,213100,219100,233200,233200,240100,247496,253693,259758,267043,273258,279998,285764,291748,298077,304448,313897,322884,330451,337107,342838,344633,346607,350192,354527,358470,368627,373171,379568,388743,398226,407970,414921,422140,429283,436987,442953,446709,449625,452259,454858,456794,458991,462072,464279,465751,468680,477176,477884,479468,52083,3.6158055411554635,3.726743851160647,3.874584797342703,3.874584797342703,3.966745387170478,4.09154618589559,4.206746923180308,4.477468655799397,4.477468655799397,4.609949503676823,4.75195361250312,4.8709367739953535,4.987385519267323,5.127258414453853,5.24658717815794,5.375996006374441,5.486703914905055,5.601597450223681,5.723115027936179,5.845439010809669,6.02686097191022,6.199412476239848,6.344699806078759,6.472495823973273,6.582531728203061,6.616995948774072,6.6548969913407445,6.723729431868364,6.8069619645565735,6.882668049075514,7.077683697175662,7.164929055545955,7.2877522416143465,7.463913369045562,7.645988134324059,7.833074131674443,7.966534185818789,8.105139872895187,8.242286350632645,8.390204097306222,8.504752030412995,8.576867691953229,8.632855250273602,8.683428373941593,8.733329493308757,8.77050093120596,8.812683601175047,8.87183917977075,8.914213850968647,8.942476431849164,8.998713591766988
54,Tuolumne County,6109,22169,23100,24200,24200,24900,26000,26500,30800,30800,32900,34214,35249,36261,37253,38062,39744,41586,43338,45030,46875,48837,50105,50543,51442,51877,51564,52173,52338,53029,53764,54658,55253,55850,56513,56602,56788,56680,56339,56320,55845,55164,54808,54201,53975,53830,53599,53729,53953,54250,54290,54515,55131,54587,54204,24482,0.90552242463851,0.9435503635323912,0.9884813332244098,0.9884813332244098,1.0170737684829672,1.0620047381749858,1.0824279062168123,1.2580671513765216,1.2580671513765216,1.3438444571521935,1.3975165427661138,1.439792500612695,1.4811289927293523,1.5216485581243362,1.5546932440160117,1.6233967813087167,1.698635732374806,1.7701985131933666,1.839310513846908,1.9146720039212484,1.9948125153173761,2.0466056694714485,2.0644963646760885,2.101217220815293,2.118985377011682,2.1062004738174984,2.1310758924924436,2.137815537946246,2.1660403561800505,2.1960624132015356,2.232579037660322,2.2568826076300956,2.281267870272037,2.3083489910954986,2.311984315006944,2.3195817335185036,2.315170329221469,2.301241728616943,2.3004656482313535,2.2810636385916183,2.2532472837186504,2.2387059880728697,2.2139122620700924,2.2046809901151865,2.198758271383057,2.189322767747733,2.194632791438608,2.2037823707213464,2.2159137325381915,2.2175475859815377,2.2267380116003594
55,Ventura County,6111,378497,395700,419500,419500,433900,448900,460500,494100,494100,512200,532894,546393,562144,575587,588792,602820,615415,632069,650848,664688,670132,675485,684004,690066,698901,703990,710920,722156,732143,745063,756506,766689,779489,788070,793994,794197,798183,800027,806353,815130,825144,829908,833287,837729,842113,845599,846921,848264,847222,844203,841387,839471,832871,829590,23771,15.92263682638509,16.646333768036683,17.647553741954482,17.647553741954482,18.253333894240882,18.88435488620588,19.372344453325482,20.78583147532708,20.78583147532708,21.54726347229818,22.41782003281309,22.98569685751546,23.64831096714484,24.213831980143873,24.769340793403728,25.359471625089395,25.88931891800934,26.589920491355013,27.37991670522906,27.9621387404821,28.191157292499263,28.416347650498505,28.774725505868496,29.029742122754616,29.401413487022,29.61549787556266,29.90702957385049,30.379706364898407,30.799840141348703,31.34335955576122,31.824744436498253,32.25312355391023,32.791594800387024,33.15258087585714,33.40179209961718,33.41033191704177,33.57801522863994,33.6555887425855,33.92171132893021,34.290942745361995,34.71221235959783,34.912624626645915,35.05477262210256,35.24163897185646,35.42606537377477,35.57271465230743,35.628328635732615,35.68482604854655,35.640991123638045,35.513987631988556,35.395523957763665
56,Yolo County,6113,91788,95300,97700,97700,99900,102200,101400,111100,111100,109600,113792,115239,117748,119395,120863,123769,125161,128522,133306,138249,141991,143853,144364,144980,145796,147399,149077,151496,153293,155573,169835,175337,180327,182954,185237,186269,189615,194339,197154,199791,201061,201931,204558,206267,208368,211998,215569,218470,220082,220019,219728,213141,222018,220544,11017,8.331487700825996,8.650267767994917,8.868112916401925,8.868112916401925,9.067804302441681,9.276572569665063,9.203957520196061,10.084414995007716,10.084414995007716,9.948261777253336,10.32876463647091,10.460107107197967,10.687846056095125,10.837342289189435,10.970590904965054,11.234365072161205,11.360715258237269,11.665789234818916,12.100027230643551,12.54869746755015,12.888354361441408,13.057365889080511,13.103748751928837,13.159662340019969,13.233729690478352,13.379232095851865,13.531542162113098,13.751111917944995,13.91422347281474,14.121176363801398,15.415721158210038,15.915131160933104,16.368067531996005,16.606517200689844,16.81374239811201,16.90741581192702,17.211128256331126,17.639920123445584,17.895434328764637,18.134791685576836,18.250068076608876,18.329036942906416,18.567486611600255,18.72261051102841,18.91331578469638,19.242806571661976,19.566941998729238,19.830262321866208,19.976581646546247,19.970863211400562,19.944449487156213
57,Yuba County,6115,44736,45300,44900,44900,45200,45400,47300,48300,48300,48900,49807,50014,51173,51720,52405,53326,53781,54774,55839,57005,58642,59375,60655,61290,61695,61012,60842,60154,59953,59607,60372,61249,62100,62733,63742,66285,69272,70761,71773,71607,72345,72480,72770,73082,73527,74039,74920,76575,77418,78549,80160,83227,84353,85722,6930,6.4554112554112555,6.536796536796537,6.479076479076479,6.479076479076479,6.522366522366522,6.551226551226551,6.825396825396825,6.96969696969697,6.96969696969697,7.0562770562770565,7.187157287157287,7.217027417027417,7.384271284271284,7.463203463203463,7.562049062049062,7.694949494949495,7.760606060606061,7.903896103896104,8.057575757575757,8.225829725829726,8.462049062049061,8.567821067821068,8.752525252525253,8.844155844155845,8.902597402597403,8.804040404040403,8.77950937950938,8.68023088023088,8.651226551226552,8.6012987012987,8.711688311688311,8.838239538239538,8.96103896103896,9.052380952380952,9.197979797979798,9.564935064935066,9.995959595959595,10.210822510822512,10.356854256854257,10.332900432900432,10.43939393939394,10.458874458874458,10.5007215007215,10.545743145743145,10.60995670995671,10.683838383838383,10.81096681096681,11.04978354978355,11.17142857142857,11.334632034632035,11.567099567099566
